,account_name,compound,date,negative,neutral,positive,text
65,CNN,0.0,Mon Jan 08 16:40:12 +0000 2018,0.0,1.0,0.0,CNN
66,CNN,0.0,Mon Jan 08 16:30:16 +0000 2018,0.0,1.0,0.0,CNN
67,CNN,0.0,Mon Jan 08 16:20:10 +0000 2018,0.0,1.0,0.0,CNN
68,CNN,-0.7845,Mon Jan 08 16:12:47 +0000 2018,0.317,0.683,0.0,CNN
69,CNN,0.8126,Mon Jan 08 16:00:49 +0000 2018,0.0,0.684,0.316,CNN
70,CNN,0.2732,Mon Jan 08 15:47:11 +0000 2018,0.0,0.89,0.11,CNN
71,CNN,-0.5574,Mon Jan 08 15:37:42 +0000 2018,0.175,0.825,0.0,CNN
72,CNN,0.0,Mon Jan 08 15:26:10 +0000 2018,0.0,1.0,0.0,CNN
73,CNN,0.6597,Mon Jan 08 15:13:17 +0000 2018,0.0,0.779,0.221,CNN
74,CNN,0.0,Mon Jan 08 14:50:34 +0000 2018,0.0,1.0,0.0,CNN
75,CNN,0.7717,Mon Jan 08 14:36:15 +0000 2018,0.0,0.676,0.324,CNN
76,CNN,0.0,Mon Jan 08 14:20:45 +0000 2018,0.0,1.0,0.0,CNN
77,CNN,0.3612,Mon Jan 08 14:05:03 +0000 2018,0.0,0.839,0.161,CNN
78,CNN,0.0,Mon Jan 08 13:54:42 +0000 2018,0.0,1.0,0.0,CNN
79,CNN,0.3612,Mon Jan 08 13:39:36 +0000 2018,0.0,0.865,0.135,CNN
80,CNN,0.34,Mon Jan 08 13:25:15 +0000 2018,0.0,0.876,0.124,CNN
81,CNN,0.1511,Mon Jan 08 13:10:04 +0000 2018,0.0,0.93,0.07,CNN
82,CNN,0.7717,Mon Jan 08 13:01:35 +0000 2018,0.0,0.705,0.295,CNN
83,CNN,0.0,Mon Jan 08 12:50:13 +0000 2018,0.0,1.0,0.0,CNN
84,CNN,0.0,Mon Jan 08 12:50:02 +0000 2018,0.0,1.0,0.0,CNN
85,CNN,0.0,Mon Jan 08 12:40:06 +0000 2018,0.0,1.0,0.0,CNN
86,CNN,0.4767,Mon Jan 08 12:30:03 +0000 2018,0.0,0.721,0.279,CNN
87,CNN,0.0,Mon Jan 08 12:20:07 +0000 2018,0.0,1.0,0.0,CNN
88,CNN,0.0,Mon Jan 08 12:10:06 +0000 2018,0.0,1.0,0.0,CNN
89,CNN,0.0,Mon Jan 08 12:00:17 +0000 2018,0.0,1.0,0.0,CNN
90,CNN,0.0,Mon Jan 08 11:53:05 +0000 2018,0.0,1.0,0.0,CNN
91,CNN,-0.34,Mon Jan 08 11:52:33 +0000 2018,0.103,0.897,0.0,CNN
92,CNN,0.0,Mon Jan 08 11:43:05 +0000 2018,0.0,1.0,0.0,CNN
93,CNN,0.7717,Mon Jan 08 11:34:12 +0000 2018,0.0,0.676,0.324,CNN
94,CNN,0.0,Mon Jan 08 11:14:02 +0000 2018,0.0,1.0,0.0,CNN
95,CNN,0.1154,Mon Jan 08 11:06:07 +0000 2018,0.094,0.741,0.165,CNN
96,CNN,0.2023,Mon Jan 08 11:03:44 +0000 2018,0.106,0.752,0.142,CNN
97,CNN,0.4767,Mon Jan 08 10:58:09 +0000 2018,0.0,0.744,0.256,CNN
98,CNN,0.0,Mon Jan 08 10:48:07 +0000 2018,0.0,1.0,0.0,CNN
99,CNN,0.0,Mon Jan 08 10:45:11 +0000 2018,0.0,1.0,0.0,CNN
