,account_name,compound,date,negative,neutral,positive,text
65,NYT,0.0,Mon Jan 08 21:44:06 +0000 2018,0.0,1.0,0.0,NYT
66,NYT,0.3612,Mon Jan 08 21:43:06 +0000 2018,0.0,0.762,0.238,NYT
67,NYT,-0.25,Mon Jan 08 21:32:06 +0000 2018,0.355,0.435,0.21,NYT
68,NYT,0.0,Mon Jan 08 21:28:06 +0000 2018,0.0,1.0,0.0,NYT
69,NYT,-0.4767,Mon Jan 08 21:27:06 +0000 2018,0.205,0.795,0.0,NYT
70,NYT,0.0,Mon Jan 08 21:26:06 +0000 2018,0.0,1.0,0.0,NYT
71,NYT,0.0,Mon Jan 08 21:20:06 +0000 2018,0.0,1.0,0.0,NYT
72,NYT,0.0,Mon Jan 08 21:15:06 +0000 2018,0.237,0.526,0.237,NYT
73,NYT,0.0,Mon Jan 08 21:14:06 +0000 2018,0.0,1.0,0.0,NYT
74,NYT,-0.7845,Mon Jan 08 21:13:06 +0000 2018,0.408,0.592,0.0,NYT
75,NYT,0.0772,Mon Jan 08 21:12:06 +0000 2018,0.0,0.885,0.115,NYT
76,NYT,0.0,Mon Jan 08 21:10:06 +0000 2018,0.0,1.0,0.0,NYT
77,NYT,-0.1027,Mon Jan 08 21:09:06 +0000 2018,0.149,0.851,0.0,NYT
78,NYT,0.0,Mon Jan 08 20:55:06 +0000 2018,0.0,1.0,0.0,NYT
79,NYT,0.1027,Mon Jan 08 20:53:06 +0000 2018,0.0,0.851,0.149,NYT
80,NYT,-0.6908,Mon Jan 08 20:38:06 +0000 2018,0.388,0.612,0.0,NYT
81,NYT,0.0,Mon Jan 08 20:23:06 +0000 2018,0.0,1.0,0.0,NYT
82,NYT,0.0,Mon Jan 08 20:22:06 +0000 2018,0.0,1.0,0.0,NYT
83,NYT,-0.5719,Mon Jan 08 20:21:06 +0000 2018,0.277,0.638,0.085,NYT
84,NYT,-0.7906,Mon Jan 08 20:06:06 +0000 2018,0.389,0.611,0.0,NYT
85,NYT,0.0,Mon Jan 08 20:05:06 +0000 2018,0.0,1.0,0.0,NYT
86,NYT,0.0,Mon Jan 08 19:49:06 +0000 2018,0.0,1.0,0.0,NYT
87,NYT,0.0,Mon Jan 08 19:37:06 +0000 2018,0.0,1.0,0.0,NYT
88,NYT,0.0,Mon Jan 08 19:35:06 +0000 2018,0.0,1.0,0.0,NYT
89,NYT,0.0,Mon Jan 08 19:34:06 +0000 2018,0.0,1.0,0.0,NYT
90,NYT,-0.7845,Mon Jan 08 19:20:06 +0000 2018,0.463,0.537,0.0,NYT
91,NYT,-0.3818,Mon Jan 08 19:18:06 +0000 2018,0.286,0.714,0.0,NYT
92,NYT,-0.5106,Mon Jan 08 19:04:06 +0000 2018,0.292,0.708,0.0,NYT
93,NYT,0.0,Mon Jan 08 19:03:05 +0000 2018,0.0,1.0,0.0,NYT
94,NYT,0.2263,Mon Jan 08 18:48:05 +0000 2018,0.157,0.629,0.214,NYT
95,NYT,0.4588,Mon Jan 08 18:47:05 +0000 2018,0.134,0.61,0.256,NYT
96,NYT,0.4215,Mon Jan 08 18:34:05 +0000 2018,0.0,0.797,0.203,NYT
97,NYT,0.0,Mon Jan 08 18:33:05 +0000 2018,0.0,1.0,0.0,NYT
98,NYT,0.0,Mon Jan 08 18:16:05 +0000 2018,0.0,1.0,0.0,NYT
99,NYT,0.0,Mon Jan 08 18:03:05 +0000 2018,0.0,1.0,0.0,NYT
